myFiles
id,amount,created_at,due_date
100,29.66,2022-08-26,2022-02-09
101,790.54,2022-09-03,2022-11-26
102,653.16,2022-11-24,2022-10-08
103,854.98,2022-03-17,2022-12-20
104,908.26,2022-04-18,2022-12-03
105,264.2,2022-09-15,2022-06-30
106,197.23,2022-04-12,2022-08-20
107,288.91,2022-12-03,2022-01-05
108,78.56,2022-07-18,2022-07-10
109,183.41,2022-07-30,
110,947.64,2022-06-18,2022-02-19
111,331.59,2022-12-13,2022-06-28
112,640.47,2022-12-28,2022-05-26
113,154.71,2022-07-13,2022-10-28
114,440.87,2022-02-04,2022-05-11
115,775.94,2022-07-06,2022-09-23
116,279.34,2022-01-22,2022-09-16
117,207.33,2022-07-27,2022-12-23
118,384.04,2022-08-28,2022-06-11
119,,2022-12-04,2022-04-28
120,635.3,2022-06-25,2022-10-12
121,579.05,2022-07-24,2022-12-16
122,797.2,2022-01-05,2022-02-19
123,720.42,2022-08-23,2022-01-14
124,70.15,2022-01-13,2022-12-09
125,717.19,2022-08-31,2022-11-25
126,50.79,2022-04-15,2022-10-19
127,630.59,2022-05-13,2022-11-29
128,118.52,2022-03-25,2022-01-11
129,143.96,2022-04-25,2022-09-19
130,997.93,2022-06-29,
131,692.05,2022-08-16,2022-06-28
132,28.47,2022-09-08,2022-02-21
133,319.14,2022-08-14,2022-09-21
134,927.93,2022-03-27,2022-03-14
135,358.36,2022-12-24,2022-01-23
136,98.36,2022-02-09,2022-04-21
137,,2022-09-04,2022-03-07
138,477.25,2022-02-13,2022-04-10
139,126.87,2022-03-08,2022-07-07
140,203.33,2022-04-09,
141,95.15,2022-06-05,2022-11-10
142,328.16,2022-07-13,2022-07-12
143,871.61,2022-01-21,2022-04-05
144,147.12,2022-10-17,2022-06-15
145,742.81,2022-10-08,2022-07-02
146,364.11,2022-07-22,2022-04-08
147,933.28,2022-08-24,2022-05-16
148,758.73,2022-12-04,2022-03-04
149,250.61,2022-10-02,2022-02-15
150,177.28,2022-03-30,2022-02-08
151,570.01,2022-07-24,2022-10-03
152,913.51,2022-02-27,2022-05-18
153,283.78,2022-11-14,2022-09-13
154,129.15,2022-07-08,2022-09-20
155,793.2,2022-10-10,2022-12-15
156,335.72,2022-08-07,2022-08-04
157,588.17,2022-12-23,2022-12-16
158,577.6,2022-03-03,2022-09-12
159,185.22,2022-03-20,2022-08-11
160,629.38,2022-04-10,2022-06-02
161,945.92,2022-01-06,2022-10-04
162,200.95,2022-07-09,2022-10-23
163,120.97,2022-09-26,2022-08-24
164,45.87,2022-09-23,2022-09-19
165,503.7,2022-02-25,2022-12-31
166,232.98,2022-04-04,2022-05-21
167,114.31,2022-06-11,2022-08-17
168,518.65,2022-06-09,2022-10-08
169,903.05,2022-04-17,2022-04-16
170,843.87,2022-06-19,2022-08-31
171,597.81,2022-05-27,2022-08-13
172,863,2022-01-07,2022-08-24
173,327.77,2022-11-11,2022-05-17
174,668.01,2022-01-12,2022-06-26
175,463.96,2022-05-26,2022-12-09
176,567.16,2022-07-28,2022-03-21
177,434.97,2022-12-17,2022-07-07
178,559.51,2022-06-05,2022-02-07
179,49.39,2022-01-07,2022-03-10
180,250.31,2022-04-27,2022-06-07
181,473.1,2022-07-23,2022-03-13
182,363.51,2022-10-05,2022-11-10
183,419.36,2022-11-17,2022-12-15
184,987.19,2022-11-17,2022-10-04
185,469.39,2022-02-11,2022-04-27
186,130.07,2022-04-21,2022-10-19
187,847.33,2022-07-16,2022-07-12
188,421.81,2022-09-28,2022-06-29
189,65.13,2022-08-29,2022-12-20
190,862.3,2022-04-05,2022-09-23
191,59.52,2022-06-23,2022-04-26
192,534.95,2022-10-01,2022-09-03
193,667.94,2022-04-12,2022-10-07
194,861.77,2022-04-13,2022-05-12
195,972.87,2022-03-30,2022-04-25
196,403.22,2022-06-16,2022-09-15
197,466.22,2022-09-19,2022-07-02
198,591.7,2022-09-16,2022-10-28
199,771.41,2022-04-23,2022-02-08
